OName,Website,Address,Email,Phone_number
Office of the President,https://president.utdallas.edu/,"800 W. Campbell Road Richardson, Texas 75080-3021",kimberly.goodfriend@utdallas.edu,972- 883-2201
Office of the Provost,https://provost.utdallas.edu/,"800 W. Campbell Road Richardson, Texas 75080-3021",inga.musselman@utdallas.edu,972-883-2271
Office of Audit and Consulting,https://audit.utdallas.edu/,"3020 Waterview Pkwy. Room SP 12.629 Richardson, TX 75080",tstephens@utdallas.edu,972-883-4876
Office of Budget and Finance,https://finance.utdallas.edu/,"800 W. Campbell Rd., AD 31 Richardson, TX 75080-3021",budget@utdallas.edu,972-883-4802
Office of Communications,https://www.utdallas.edu/communications/,"800 W. Campbell Road Richardson, Texas 75080-3021",john.walls@utdallas.edu,972-883-2111
Office of Development and Alumni Relations,https://development.utdallas.edu/,"3000 Waterview Parkway Richardson, TX 75080",development@utdallas.edu,972-883-2295
"Office of Diversity, Equity, and Inclusion",https://odei.utdallas.edu/,"800 W. Campbell Rd. Richardson, TX 75080-3021",community@utdallas.edu,972-883-6334
Facilties and Economic Development,https://fed.utdallas.edu/,"800 W Campbell Rd, AD 24 Richardson, TX 75080-3021",fed@utdallas.edu,972-883-2213
Government and Community Relations,https://www.utdallas.edu/governmentrelations/,"800 W. Campbell Road, AD 12 Richardson, TX 75080",publicaffairs@utdallas.edu,972-883-2106
Office of Human Resources,https://hr.utdallas.edu/,"800 West Campbell Rd, AD 10 Richardson, TX 75080-3021",hr@utdallas.edu,972-883-2221
Information Security,https://infosecurity.utdallas.edu/,N/A,infosecurity@utdallas.edu,972-883-6810
Office of Information Technology,https://oit.utdallas.edu/,"800 W. Campbell Road, ROC 20 Richardson, Texas 75080-3021",assist@utdallas.edu,972-883-2911
"Institutional Compliance, Equity, and Title IX Initiatives",https://institutional-initiatives.utdallas.edu/,"800 W. Campbell Road Richardson, Texas 75080",Compliance@utdallas.edu,972-883-2306
Office of Legal Affairs,https://legal.utdallas.edu/,"800 W. Campbell Rd. AD 35 Richardson, TX 75080",Tim.Shaw@utdallas.edu,972-883-2262
Office of Research and Innovation,https://research.utdallas.edu/,"800 W. Campbell Road Richardson, TX 75080",research@utdallas.edu,972-883-4570
Office of Institutional Success and Decision Support,https://oisds.utdallas.edu/,"800 West Campbell Road Richardson, Texas 75080-3021",oisds@utdallas.edu,972-883-4357
Student Affairs,https://studentaffairs.utdallas.edu/,"800 West Campbell Road Richardson, Texas 75080-3021",studentaffairs@utdallas.edu,972-883-6236
